car_brand,car_system,car_model,register_time,meter_mile,sell_times,car_class,price
比速汽车,比速T3,2017款 1.3T 手动豪华型,2019/1/6,0.48,0,suv,4.93
大众,朗逸,2017款 230TSI DSG舒适版,2018/1/9,3.37,0,saloon,9.77
宝骏,宝骏510,2017款 1.5L 手动舒适型,2017/1/10,3.0299,0,suv,5.21
大众,帕萨特,2017款 330TSI DSG尊荣版,2017/1/10,8.18,0,saloon,13.76
大众,途观,2010款 2.0TSI 自动四驱菁英版,2011/1/7,13.56,0,suv,7.26
东风风光,东风风光370,2016款 1.5L 手动尊享型 7座,2016/1/3,5.76,0,mpv,3.2599
宝骏,宝骏310W,2017款 1.5L 手动 时尚型 国V,2017/1/10,3.25,0,saloon,3.72
宝马,宝马3系,2018款 320Li 时尚型,2019/1/2,0.81,0,saloon,25.56
宝骏,宝骏310W,2017款 1.5L 手动 舒适型 国V,2018/1/1,2.88,1,saloon,4.1
长安,长安CS35,2014款 1.6L 手动豪华型 国IV,2014/1/3,9.6,0,suv,4.7
标致,标致301,2016款 1.6L 自动舒适版,2016/1/8,7.19,2,saloon,4.38
长安,奔奔,2015款 1.4L IMT尊贵型 国V,2016/1/1,1.95,0,saloon,4.24
别克,英朗,2018款 18T 自动精英型,2018/1/7,2.99,0,saloon,6.79
宝骏,宝骏530,2018款 1.5T 手动尊贵型,2019/1/1,0.68,0,suv,6.98
大众,帕萨特,2013款 2.0TSI DSG御尊版,2013/1/7,8.5399,1,saloon,11.63
长安,长安CS35,2016款 1.6L 手动豪华型 国IV,2016/1/6,6.0599,2,suv,4.38
大众,途观,2016款 300TSI 自动四驱豪华版,2016/1/8,6.49,1,suv,14.88
宝骏,宝骏310W,2017款 1.5L 手动 时尚型 国V,2018/1/1,4.7,0,saloon,4.75
大众,途观,2012款 1.8TSI 自动两驱菁英版,2012/1/4,16.91,1,suv,8.84
宝骏,宝骏310,2017款 1.5L 自动舒适型,2018/1/11,1.32,0,saloon,3.99
标致,标致301,2014款 1.6L 自动舒适版,2015/1/12,7.19,1,saloon,5.3099
长安,奔奔,2015款 1.4L 手动豪华型 国V,2016/1/9,2.2599,0,saloon,2.29
大众,速腾,2017款 1.6L 自动舒适型,2017/1/6,3.8,0,saloon,9.1
东风风光,东风风光580,2017款 1.5T CVT豪华型,2017/1/9,2.9,1,suv,6.42
宝骏,宝骏310,2017款 1.5L 自动时尚型,2018/1/10,0.94,1,saloon,4.36
宝骏,宝骏530,2018款 1.5T 手动尊贵型,2018/1/10,1.09,0,suv,6.05
大众,迈腾,2019款 280TSI DSG 舒适型,2019/1/4,1.02,0,saloon,15.05
